url;name;content;product
https://support.mts.ru/krediti_i_ipoteka/kak-upravlyat-kreditom/kak-proverit-informatsiyu-po-svoemu-kreditu;Как проверить информацию по своему кредиту;Скачайте приложение МТС Банка или зайдите в личный кабинет . Вы сможете просматривать информацию по кредиту, погашать его и получать справки или выписки Кредит будет на стартовой странице. Если его нет, проверьте номер, под которым заходите - он должен совпадать с тем, что указан в договоре на кредит. По договору, заключенному в выходной, данные о кредите подтянутся в первый будний день;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-upravlyat-kreditom/gde-posmotret-dogovor-na-kredit;Где посмотреть договор на кредит;В приложении МТС Банка или в личном кабинете выберите нужный кредит, нажмите Договор кредитования С телефона договор можно посмотреть, а также отправить pdf-файлом на email или через мессенджеры;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-upravlyat-kreditom/kak-uznat-planovii-platezh-posmotret-grafik;Как узнать плановый платеж, посмотреть график;В приложении МТС Банка или в личном кабинете на стартовой странице нажмите на нужный кредит. Откроется форма с общей информацией: остаток долга по кредиту, дата и сумма платежа. Нажмите на раздел График . Вы увидите, сколько уже оплачено, сколько осталось оплатить, а также сможете отправить график pdf-файлом. Платежи, выпадающие на выходные, переносятся вперед на будний день. Например, платёж по графику – всегда 11 число. В июне 11 число – суббота, платёж нужно внести до 13 июня, к понедельнику.;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-upravlyat-kreditom/kak-poluchit-spravku-o-zakritii-i-drugie-dokumenti-po-kreditu;Как получить справку о закрытии и другие документы по кредиту;В приложении МТС Банка или в личном кабинете зайдите в раздел Еще и нажмите Справки и выписки. Выберите нужную справку Например, чтобы получить справку о закрытии кредита, выберите Справку о полном погашении задолженности. Укажите email, и мы отправим вам справку с печатью и подписью;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-upravlyat-kreditom/kak-prodlit-polis-po-ipoteke;Как продлить полис по ипотеке;Оформите и оплатите новый полис в одной из страховых компаний После оплаты полис и чек поступят на ваш email. Перешлите эти документы на почту отделения банка вашего региона;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-sekonomit-na-kredite/platite-za-kredit-bez-komissii;Платите за кредит без комиссий;Самый быстрый и надежный способ оплаты – по СБП. Деньги поступят моментально, а вы получите подтверждение перевода по SMS Как перевести: 1. В приложении банка, откуда будет перевод, выберите способ перевода: Система быстрых платежей 2. Введите свой номер телефона и выберите МТС Банк 3. Выберите карту для списания и укажите сумму перевода Если в МТС Банке у вас только кредит, деньги поступят на его счет и спишутся в дату платежа. Если же есть кредит и карта, деньги поступят на карту. Их нужно будет перевести на счет кредита в приложении МТС Банка Хотите сэкономить время? Установите автоперевод, и деньги будут сами списываться в нужную дату и в нужной сумме. В приложении МТС Банка зайдите в раздел Платежи - Мои платежи - Создать новый - Автоперевод . Заполните все поля и нажмите Подключить Или просто поставьте счет кредита основным для зачисления переводов по СБП: Еще – Переводы и платежи – Входящие переводы – Счет для зачисления . Так деньги будут поступать на кредит, минуя карту;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-sekonomit-na-kredite/oformite-rassrochku;Оформите рассрочку;Допустим, для работы срочно требуется ноутбук за 100 000 рублей. Сразу выделить такую сумму бывает трудно. Но можно не откладывать покупку, а взять ноутбук в рассрочку, например, на 10 месяцев, и платить по 10 000 рублей Рассрочка – это не кредит? В рассрочке тоже есть проценты, но их платите не вы, а магазин. На примере нашего ноутбука: магазин сделает скидку на товар, которая покроет проценты банка, допустим, 5 000 рублей. Сумма кредита составит 95 000 рублей. Получается, за все время рассрочки вы выплатите столько, сколько было на ценнике – 100 000 Полезный совет : на рассрочке можно еще и заработать, если за товар предусмотрен кешбэк. Например, такой вариант есть на сайте интернет-магазина МТС . Кешбэк можно потратить на новые покупки – скажем, приобрести мышку к новому ноутбуку;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-sekonomit-na-kredite/pogashaite-kredit-dosrochno;Погашайте кредит досрочно;Вы платите проценты только за время, когда пользовались деньгами банка. Сможете погасить кредит раньше – уменьшите переплату Если кредитов несколько, выгоднее досрочно погашать тот, что оформлен позднее и с большей ставкой. Чем «старше» кредит, тем меньше долга по нему осталось, поэтому переплата по процентам там тоже будет меньше Оформить заявку на досрочное гашение можно в приложении МТС Банка или в личном кабинете : Выберите нужный кредит, нажмите Погасить , затем Погасить полностью или частично Заполните открывшееся окно и нажмите Подать заявление При частичном досрочном погашении вы можете выбрать: уменьшить ежемесячный платёж или срок кредита;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-sekonomit-na-kredite/sokraschaite-srok-kredita-ili-platezh;Сокращайте срок кредита или платеж;Уменьшать срок кредита всегда выгоднее – чем меньше пользуетесь кредитом, тем меньше процентов набежит Сравним 3 варианта: переплата по кредиту без досрочного гашения, с сокращением срока и с уменьшением платежа. Допустим, мы оформили кредит 1 октября на 100 000 по ставке 15% годовых на 12 месяцев. 1 ноября вносим 30 000 на частичное погашение: Ежемесячный платеж Срок Начислено процентов Платежи по графику 9 025,83 12 8 325,02 Уменьшение платежа 6 092,13 12 6 030,68 Сокращение срока 9 025,83 9 4 530,68 Видим, что при сокращении срока мы выплатим меньше всего процентов. Однако этот способ только экономит деньги, но не помогает в случае потери дохода. Уменьшать же платежи не так выгодно, но безопасно: снижается нагрузка на ваш бюджет и можно создать небольшую финансовую подушку. И все же есть способ заплатить меньше, снизив размер платежа. Для этого после частичного гашения продолжайте ежемесячно вносить ту же сумму, которая была до уменьшения. То есть гасите кредит досрочно, но по чуть-чуть. И так как долг все меньше каждый месяц, сокращается и срок кредита. А небольшой ежемесячный платеж будет проще внести, если возникнут трудности с финансами;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-sekonomit-na-kredite/obedinite-neskolko-kreditov-v-odin;Объедините несколько кредитов в один;Если есть несколько кредитов или кредитных карт в других банках, их можно рефинансировать – взять кредит в МТС Банке на их погашение В каких случаях это удобно и выгодно? Если ставка ниже и погашаемый кредит взят недавно Например, полгода назад вы взяли кредит под 18%, а сейчас его можно рефинансировать под 10% годовых. Платеж будет намного ниже Почему не стоит рефинансировать кредиты, которые почти выплачены? В начале вы платите в основном проценты. Если кредит оформлен давно, то львиная доля процентов оплачена. Нет смысла брать новый кредит и снова платить проценты Если нужно платить в одну дату Несколько кредитов могут иметь разные плановые даты платежа. Иногда трудно все держать в голове и проще объединить все в один кредит, а соответственно, и в один платеж Если трудно выплачивать кредит При рефинансировании можно увеличить срок кредитования и сделать платежи меньше. Это поможет выплатить кредит, если возникли финансовые трудности;Кредиты и ипотека
https://support.mts.ru/krediti_i_ipoteka/kak-reshit-finansovie-trudnosti/kak-propustit-platezh-ili-izmenit-ego-datu;Как пропустить платеж или изменить его дату;По кредитам на товар можно сдвинуть дату платежа на удобное число. Для этого нужно подключить услугу «Изменяю дату платежа». Она стоит 500 рублей, оплачиваете ее вместе со следующим плановым платежом Как сдвигаются даты? К примеру, платеж 5 числа каждого месяца. 2 сентября подключаем услугу и сдвигаем дату на 27-е число. График поменяется так: дата платеж 5.08 5 000 27.09 5 500 (платим 500 руб за услугу) 27.10 5 000 27.11 5 000 Если же платеж в конце месяца, а вы хотите перенести его на начало, даты выплат сблизятся. Например, меняем 27-е число на 5-е: дата платеж 27.08 5 000 5.09 5 500 (платим 500 руб за услугу) 5.10 5 000 5.11 5 000 По кредитам наличными доступна услуга «Управляй кредитом» . Она должна быть подключена при оформлении договора. Через 6 внесенных платежей по кредиту можно: - уменьшить платеж, увеличив срок - пропустить платеж - изменить дату платежа - взять кредитные каникулы на 3 месяца Подключить услуги можно в приложении МТС Банка . Нажмите на кредит, далее кнопка «Подключите услуги по кредиту» и выберите нужную опцию;Кредиты и ипотека
