url;name;content;product
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/kak-oformit-novuyu-sim-kartu;Как оформить новую SIM-карту;Если вы ищете, где купить новую SIM-карту МТС, выберите один из способов: На сайте МТС Оформить SIM-карту на сайте можно, если вы гражданин РФ старше 18 лет. 1. На сайте выберите номер телефона и тариф 2. Введите контактный номер любого сотового оператора и подтвердите его кодом из SMS 3. Подтвердите данные паспорта и подпишите договор 4. Введите реквизиты банковской карты и оплатите заказ 5. Выберите способ получения SIM-карты. Можно заказать бесплатную доставку или запланировать самовывоз из ближайшего магазина МТС В магазине МТС Обратитесь в магазин МТС с паспортом. На водительское удостоверение зарегистрировать номер не получится. Какие документы потребуются, если: вы гражданин другой страны — паспорт иностранного гражданина вы оформляете номер на другого человека — нотариальная доверенность от него и ваш паспорт вы оформляете номер на ребёнка от 14 до 18 лет — письменное согласие от родителя, оба паспорта ребёнка и родителя и их присутствие Как оформить новую eSIM, рассказываем в статье Если у вас уже есть eSIM или SIM-карта МТС и нужно её заменить без оформления нового номера — как это сделать, рассказываем в статье;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/kak-oformit-novuyu-esim;Как оформить новую eSIM;Если вы ищете, где купить новую eSIM МТС, выберите один из способов: На сайте МТС Оформить eSIM на сайте можно, если вы гражданин РФ старше 18 лет. 1. На сайте вам будет предложен номер телефона и тариф. Если хотите выбрать другой номер или тариф, нажмите Изменить 2. Введите контактный номер любого сотового оператора и подтвердите его кодом из SMS 3. Подтвердите данные паспорта и подпишите договор 4. Введите реквизиты банковской карты и оплатите заказ 5. На открывшемся экране вы сразу получите QR-код и ссылку для активации eSIM. Что делать дальше, рассказываем в статье Как активировать eSIM В магазине МТС Обратитесь в магазин МТС с паспортом. На водительское удостоверение зарегистрировать номер не получится. Какие документы потребуются, если: вы гражданин другой страны — паспорт иностранного гражданина вы оформляете номер на другого человека — нотариальная доверенность от него и ваш паспорт вы оформляете номер на ребёнка от 14 до 18 лет — письменное согласие от родителя, оба паспорта ребёнка и родителя и их присутствие Если у вас уже есть SIM-карта МТС, её можно бесплатно заменить на eSIM. Как это сделать, рассказываем в статье;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/kak-vibrat-nomer-mts;Как выбрать номер МТС;Выбрать номер из свободных можно на сайте . С помощью простого инструмента вы можете выбрать красивый номер за дополнительную плату или номер с удобной комбинацией цифр из бесплатных. Стоимость вы увидите напротив номера. При оформлении нового номера вы можете выбрать удобный для вас способ получения: заказать SIM-карту с доставкой на сайте запланировать самовывоз из ближайшего магазина МТС оформить eSIM онлайн Заменить текущий номер на новый с сохранением вашего тарифа, всех услуг и подписок можно только в магазине МТС В магазине вы сможете выбрать номер из доступных на сайте на момент оформления.;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/kak-aktivirovat-esim;Как активировать eSIM;1. Убедитесь, что устройство поддерживает технологию eSIM. Полный список моделей размещен на сайте МТС 2. Подготовьте QR-код для загрузки eSIM при оформлении eSIM на сайте МТС или в приложении Мой МТС QR-код можно показать сразу на экране или отправить его на другое устройство при оформлении eSIM в магазине или доставкой QR-код будет в полученном вами комплекте с ваучером 3. Подключите устройство к интернету через Wi-Fi или к мобильному интернету другой SIM-карты Не отключайте устройство от интернета и не выходите из меню до окончания процесса загрузки и включения eSIM — иногда процесс идёт небыстро 4. Зайдите в меню телефона для сканирования QR-кода и активации eSIM на iOS: Настройки > Сотовая связь > Добавить eSIM. Отсканируете QR-код и на открывшемся экране Активировать eSIM нажмите Продолжить. После завершения активации нажмите Готово на Android: Настройки > Подключения > Диспетчер SIM-карт > Добавление eSIM > Отсканировать QR-код поставщика услуг. Отсканируете QR-код и нажмите Подключить. На открывшемся экране Добавление eSIM нажмите Добавить Названия разделов в меню разных смартфонов могут отличаться. Поможет инструкция на сайте Если нужно переставить eSIM в другое устройство Перед загрузкой eSIM в другой телефон её нужно удалить с прежнего устройства, на котором она установлена: если у вас сохранился прежний телефон, удалите eSIM в его настройках если у вас нет доступа к прежнему телефону, бесплатно замените eSIM на новую — она отключится от устройства автоматически. Как заменить eSIM, рассказываем в статье Как удалить eSIM c устройства 1. Подключите устройство к интернету через Wi-Fi или к мобильному интернету другой SIM-карты Не отключайте устройство от интернета и не выходите из меню до окончания удаления eSIM — иногда процесс идёт небыстро 2. Отключите VPN, если он включен 3. Зайдите в меню телефона для удаления eSIM на  iOS: Настройки > Сотовая связь > Удалить eSIM на Android: Настройки > Подключения > Диспетчер SIM-карт > eSIM > Удалить 4. После удаления eSIM подождите 1–2 минуты. Теперь eSIM можно загрузить в другое устройство;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/kak-aktivirovatsim-kartu-samoregistratsii-;Как активировать SIM-карту саморегистрации  ;Саморегистрация — это заключение договора с МТС онлайн. Она заменяет подписание бумажного договора, когда комплект с SIM-картой приобретён в интернет-магазине МТС или у других продавцов – например, OZON, Wildberries, DNS, Ситилинк, Пятёрочка. Активация SIM-карты саморегистрации происходит в приложении Мой МТС. Если оно не установлено, скачайте его в App Store, Google Play или AppGallery. Как активировать SIM-карту: Если ещё нет номера МТС 1. Откройте приложение Мой МТС и нажмите Активировать SIM 2. Отсканируйте штрих-код или введите вручную ICCID с пластика из комплекта c SIM-картой и нажмите Продолжить 3. На экране появится надпись "SIM-карта найдена". Нажмите Продолжить и выберите регион, в котором будете использовать SIM-карту 4. Выберите тариф и номер из списка на экране 5. Проверьте и подтвердите выбранные тариф и номер телефона 6. На открывшемся экране войдите в вашу учётную запись через Госуслуги 7. Предоставьте МТС права доступа к своим данным на Госуслуги, чтобы мы добавили их в договор 8. Проверьте договор и нажмите Подписать в Госключе 9. На открывшемся экране нажмите Перейти в Госключ или Скачать Госключ, если приложение не установлено 10. Выберите договор с МТС и подпишите его 11. Оплатите оформление SIM-карты одним из предложенных на экране способов. SIM-карта активирована Если уже есть другой номер МТС, оформленный на вас 1. Войдите в приложение Мой МТС с вашего действующего номера и выберите раздел Каталог > Номер и SIM-карта МТС > Активировать SIM-карту 2. Отсканируйте штрих-код или введите вручную ICCID с пластика из комплекта c SIM-картой и нажмите Продолжить 3. На экране появится надпись "SIM-карта найдена". Нажмите Продолжить и выберите регион, в котором будете использовать SIM-карту 4. Выберите тариф и номер из списка на экране 5. Проверьте и подтвердите выбранные тариф и номер телефона 6. Укажите вашу электронную почту, если хотите получить на неё договор, и подпишите договор с помощью кнопки Подписать 7. Оплатите оформление SIM-карты одним из предложенных на экране способов. SIM-карта активирована;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/novim-abonentam/gde-kupit-gorodskoi-nomer;Как подключить городской формат номера;Городской номер — это второй номер в дополнение к вашему мобильному, который совпадает с ним по 5–7 цифрам и выглядит, как городской. Его легко запомнить тем, кто вам звонит. Когда вам звонят на городской формат номера, вызовы бесплатно переадресуются на ваш мобильный. А когда вы звоните или отправляете SMS, собеседник видит ваш мобильный номер. Сколько стоит Узнать стоимость городского номера вы можете в полном описании вашего тарифа. Для этого нужно: на сайте МТС в разделе Тарифы выбрать свой тариф внизу страницы открыть PDF-файл с подробным описанием тарифа в разделе «Обязательные платежи» найти пункт «Плата за пользование городским номером» Как подключить если у вас еще нет номера МТС, купите SIM-карту с мобильным и подключённым к нему городским номером если у вас уже есть номер МТС и вы хотите к нему подключить городской номер, оформите замену номера. Вам предоставят взамен другой мобильный номер в связке с городским В обоих случаях для оформления городского номера обратитесь в магазин МТС Как отключить бесплатно отказаться от городского номера, сохранив прежний мобильный номер, не получится. Вам придется заменить номер на другой мобильный, который будет уже без связки с городским если вы хотите сохранить формат мобильного номера без связки с городским, нужно заплатить стоимость услуги «Сохранение номера в формате DEF» — 1000 руб. В обоих случаях для отказа от городского номера обратитесь в магазин МТС;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-uznat-usloviya-svoego-tarifa;Как узнать условия своего тарифа;В приложении Мой МТС 1. На главном экране нажмите на название своего тарифа 2. Если тариф с абонентской платой, на открывшемся экране вы увидите её размер и дату следующего списания. Чтобы посмотреть полное описание тарифа, снова нажмите на название своего тарифа 3. Пролистайте страницу вниз и выберите Подробное описание. Откроется PDF-файл с подробным описанием тарифа В Личном кабинете В разделе Мой тариф вы увидите название своего тарифа. Если он с абонентской платой, там же вы можете посмотреть её размер и дату списания. Чтобы посмотреть полное описание тарифа, нажмите Условия С помощью команды *111*59# Наберите *111*59# . Вы получите SMS с названием вашего тарифа и ссылкой на его описание Условия всех тарифов вы можете узнать на сайте . Чтобы перейти на полное описание тарифа, в самом низу страницы нажмите на ссылку с pdf-файлом. Если тариф закрыт для подключения, его описание находится в разделе Архивные тарифы Если остались вопросы по условиям своего тарифа, свяжитесь с нами с номеров МТС по России в сети МТС и в сетях МТС Беларусь — 0890 с городских телефонов и с мобильных других сотовых операторов — 8 800 250-08-90 при доступе к интернету через Wi-Fi — из приложения Мой МТС в разделе Поддержка > Звонок в кол-центр > Звонок из приложения;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-izmenit-tarif;Как изменить тариф;1. Ознакомьтесь с условиями перехода на другой тариф: при переходе с архивного тарифа , вернуться на него будет невозможно если ранее была подключена скидка на плату за тариф, она не сохранится абонентская плата за новый тариф спишется сразу при переходе новые пакеты интернета, минут и SMS появятся сразу при переходе, остатки прежних пакетов не сохранятся 2. Убедитесь, что на балансе хватает денег для оплаты нового тарифа: в приложении Мой МТС в Личном кабинете наберите *100# Если денег недостаточно, пополните баланс. Как это сделать, рассказываем в статье 3. Ознакомьтесь с условиями нового тарифа и перейдите на него: в приложении Мой МТС в разделе Каталог > Тарифы в Личном кабинете в разделе Тарифы На открывшемся экране вы увидите список тарифов, доступных для перехода. Нажмите на название тарифа, чтобы посмотреть его полное описание и перейти на него.;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-proverit-i-otklyuchit-platnie-uslugi-i-podpiski;Как проверить и отключить платные услуги и подписки;в приложении Мой МТС на главном экране нажмите Мои услуги > Подключённые услуги. Для отключения выберите услугу и нажмите Отключить в Личном кабинете в разделе Услуги > Подключённые > Платные. Для отключения справа от названия услуги нажмите Отключить;Мобильная связь
https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/uslugi-po-korotkim-nomeram;Услуги по коротким номерам;Что такое услуги по коротким номерам Некоторые сайты и другие ресурсы, не принадлежащие МТС, предлагают воспользоваться развлекательными и информационными услугами с помощью отправки SMS или звонка на короткий номер, состоящий из 3–6 цифр. Такими услугами могут быть покупка лайков на сайте знакомств или набора стикеров, подписка на гороскопы или рецепты, а также операции с банковской картой по SMS на сервисный номер банка. Как правило, такие вызовы и сообщения дороже обычных и не входят в пакеты, включённые в ваш тариф. Например, SMS на номер 900 будет оплачиваться отдельно, даже если у вас есть пакет SMS. Как узнать стоимость звонка или SMS на короткий номер воспользуйтесь формой на сайте укажите в тексте SMS короткий номер и отправьте его на номер 2282 Как заблокировать платные звонки и SMS на короткие номера Подключите бесплатную услугу «Ограничение информационно-развлекательных сервисов», для этого наберите *984# Услуга заблокирует: платные звонки и SMS на короткие номера подключение подписок на ресурсах, не принадлежащих компании МТС Если вы передумали и хотите снять блокировку, наберите *985# для отключения услуги. Какие сервисы не блокирует услуга звонки и SMS на короткие номера информационных служб разных компаний. Среди них, например, банки, благотворительные фонды, службы спасения, государственные структуры. Полный список номеров, которые не блокирует услуга, можно посмотреть на сайте платные подписки и услуги, которые предоставляет МТС. Такие сервисы по-прежнему можно будет подключать в приложении Мой МТС, Личном кабинете, с помощью специальных команд и SMS от МТС;Мобильная связь
